defined	arg	defined arg
NTDDI_WIN6SP3		0x06000300
NTDDI_WIN6SP4		0x06000400
NTDDI_VISTA		NTDDI_WIN6
NTDDI_VISTASP1		NTDDI_WIN6SP1
NTDDI_VISTASP2		NTDDI_WIN6SP2
NTDDI_VISTASP3		NTDDI_WIN6SP3
NTDDI_VISTASP4		NTDDI_WIN6SP4
NTDDI_LONGHORN		NTDDI_VISTA
NTDDI_WS08		NTDDI_WIN6SP1
NTDDI_WS08SP2		NTDDI_WIN6SP2
NTDDI_WS08SP3		NTDDI_WIN6SP3
NTDDI_WS08SP4		NTDDI_WIN6SP4
NTDDI_WIN7		0x06010000
NTDDI_WIN8		0x06020000
NTDDI_WINBLUE		0x06030000
NTDDI_WINTHRESHOLD		0x0A000000
NTDDI_WIN10		0x0A000000
NTDDI_WIN10_TH2		0x0A000001
NTDDI_WIN10_RS1		0x0A000002
NTDDI_WIN10_RS2		0x0A000003
NTDDI_WIN10_RS3		0x0A000004
NTDDI_WIN10_RS4		0x0A000005
NTDDI_WIN10_RS5		0x0A000006
NTDDI_WIN10_19H1		0x0A000007
NTDDI_WIN10_VB		0x0A000008
NTDDI_WIN10_MN		0x0A000009
NTDDI_WIN10_FE		0x0A00000A
NTDDI_WIN10_CO		0x0A00000B
NTDDI_WIN10_NI		0x0A00000C
WDK_NTDDI_VERSION		NTDDI_WIN10_NI
OSVERSION_MASK		0xFFFF0000
SPVERSION_MASK		0x0000FF00
SUBVERSION_MASK		0x000000FF
OSVER	Version	((Version) & OSVERSION_MASK)
SPVER	Version	(((Version) & SPVERSION_MASK) >> 8)
SUBVER	Version	(((Version) & SUBVERSION_MASK) )
NTDDI_VERSION_FROM_WIN32_WINNT2	ver	ver##0000
NTDDI_VERSION_FROM_WIN32_WINNT	ver	NTDDI_VERSION_FROM_WIN32_WINNT2(ver)
_WIN32_WINNT		0x0A00
NTDDI_VERSION		WDK_NTDDI_VERSION
WINVER		_WIN32_WINNT
_WIN32_IE		0x0A00
_INC_WINDOWS		
_INC_EXCPT		
_VCRUNTIME_H		
_VCRT_COMPILER_PREPROCESSOR		1
_UCRT		
_VCRT_DEFINED_CRTIMP		
_CRTIMP		
__ATTR_SAL		
_SAL_VERSION		20
__SAL_H_VERSION		180000000
_USE_DECLSPECS_FOR_SAL		0
_USE_ATTRIBUTES_FOR_SAL		0
_SAL1_Source_	Name,args,annotes	_SA_annotes3(SAL_name, #Name, "", "1") _Group_(annotes _SAL_nop_impl_)
_SAL1_1_Source_	Name,args,annotes	_SA_annotes3(SAL_name, #Name, "", "1.1") _Group_(annotes _SAL_nop_impl_)
_SAL1_2_Source_	Name,args,annotes	_SA_annotes3(SAL_name, #Name, "", "1.2") _Group_(annotes _SAL_nop_impl_)
_SAL2_Source_	Name,args,annotes	_SA_annotes3(SAL_name, #Name, "", "2") _Group_(annotes _SAL_nop_impl_)
_SAL_L_Source_	Name,args,annotes	_SA_annotes3(SAL_name, #Name, "", "2") _Group_(annotes _SAL_nop_impl_)
_At_	t,a	
_At_buffer_	t,i,c,a	
_When_	c,a	
_Group_	a	
_GrouP_	annos	_GrouP_impl_(annos _SAL_nop_impl_)
_Success_	c	
_Return_type_success_	c	
_On_failure_	a	
_Always_	a	
_Use_decl_annotations_		
_Notref_		_Notref_impl_
_Pre_defensive_		
_Post_defensive_		
_In_defensive_	a	
_Out_defensive_	a	
_Inout_defensive_	a	
_Reserved_		_Pre_equal_to_(0) _Pre_ _Null_
_Const_		
_In_		
_In_opt_		
_In_z_		
_In_opt_z_		
_In_reads_	s	
_In_reads_opt_	s	
_In_reads_bytes_	s	
_In_reads_bytes_opt_	s	
_In_reads_z_	s	
_In_reads_opt_z_	s	
_In_reads_or_z_	s	
_In_reads_or_z_opt_	size	_SAL2_Source_(_In_reads_or_z_opt_, (size), _In_opt_ _When_(_String_length_(_Curr_) < (size), _Pre_z_) _When_(_String_length_(_Curr_) >= (size), _Pre1_impl_(__count_impl(size))))
_In_reads_to_ptr_	p	
_In_reads_to_ptr_opt_	p	
_In_reads_to_ptr_z_	p	
_In_reads_to_ptr_opt_z_	p	
_Out_		
_Out_opt_		
_Out_writes_	s	
_Out_writes_opt_	s	
_Out_writes_bytes_	s	
_Out_writes_bytes_opt_	s	
_Out_writes_z_	s	
_Out_writes_opt_z_	s	
_Out_writes_to_	s,c	
_Out_writes_to_opt_	s,c	
_Out_writes_all_	s	
_Out_writes_all_opt_	s	
_Out_writes_bytes_to_	s,c	
_Out_writes_bytes_to_opt_	s,c	
_Out_writes_bytes_all_	s	
_Out_writes_bytes_all_opt_	s	
_Out_writes_to_ptr_	p	
_Out_writes_to_ptr_opt_	p	
_Out_writes_to_ptr_z_	p	
_Out_writes_to_ptr_opt_z_	p	
_Inout_		
_Inout_opt_		
_Inout_z_		
_Inout_opt_z_		
_Inout_updates_	s	
_Inout_updates_opt_	s	
_Inout_updates_z_	s	
_Inout_updates_opt_z_	s	
_Inout_updates_to_	s,c	
_Inout_updates_to_opt_	s,c	
_Inout_updates_all_	s	
_Inout_updates_all_opt_	s	
_Inout_updates_bytes_	s	
_Inout_updates_bytes_opt_	s	
_Inout_updates_bytes_to_	s,c	
_Inout_updates_bytes_to_opt_	s,c	
_Inout_updates_bytes_all_	s	
_Inout_updates_bytes_all_opt_	s	
_Outptr_		
_Outptr_result_maybenull_		
_Outptr_opt_		
_Outptr_opt_result_maybenull_		
_Outptr_result_z_		
_Outptr_opt_result_z_		
_Outptr_result_maybenull_z_		
_Outptr_opt_result_maybenull_z_		
_Outptr_result_nullonfailure_		
_Outptr_opt_result_nullonfailure_		
_COM_Outptr_		
_COM_Outptr_result_maybenull_		
_COM_Outptr_opt_		
_COM_Outptr_opt_result_maybenull_		
_Outptr_result_buffer_	s	
_Outptr_opt_result_buffer_	s	
_Outptr_result_buffer_to_	s,c	
_Outptr_opt_result_buffer_to_	s,c	
_Outptr_result_buffer_all_	size	_SAL2_Source_(_Outptr_result_buffer_all_, (size), _Out_impl_ _Deref_post2_impl_(__notnull_impl_notref, __count_impl(size)))
_Outptr_opt_result_buffer_all_	size	_SAL2_Source_(_Outptr_opt_result_buffer_all_, (size), _Out_opt_impl_ _Deref_post2_impl_(__notnull_impl_notref, __count_impl(size)))
_Outptr_result_buffer_maybenull_	s	
_Outptr_opt_result_buffer_maybenull_	s	
_Outptr_result_buffer_to_maybenull_	size,count	_SAL2_Source_(_Outptr_result_buffer_to_maybenull_, (size, count), _Out_impl_ _Deref_post3_impl_(__maybenull_impl_notref, __cap_impl(size), __count_impl(count)))
_Outptr_opt_result_buffer_to_maybenull_	size,count	_SAL2_Source_(_Outptr_opt_result_buffer_to_maybenull_, (size, count), _Out_opt_impl_ _Deref_post3_impl_(__maybenull_impl_notref, __cap_impl(size), __count_impl(count)))
_Outptr_result_buffer_all_maybenull_	size	_SAL2_Source_(_Outptr_result_buffer_all_maybenull_, (size), _Out_impl_ _Deref_post2_impl_(__maybenull_impl_notref, __count_impl(size)))
_Outptr_opt_result_buffer_all_maybenull_	size	_SAL2_Source_(_Outptr_opt_result_buffer_all_maybenull_, (size), _Out_opt_impl_ _Deref_post2_impl_(__maybenull_impl_notref, __count_impl(size)))
_Outptr_result_bytebuffer_	s	
_Outptr_opt_result_bytebuffer_	s	
_Outptr_result_bytebuffer_to_	s,c	
_Outptr_opt_result_bytebuffer_to_	s,c	
_Outptr_result_bytebuffer_all_	size	_SAL2_Source_(_Outptr_result_bytebuffer_all_, (size), _Out_impl_ _Deref_post2_impl_(__notnull_impl_notref, __bytecount_impl(size)))
_Outptr_opt_result_bytebuffer_all_	size	_SAL2_Source_(_Outptr_opt_result_bytebuffer_all_, (size), _Out_opt_impl_ _Deref_post2_impl_(__notnull_impl_notref, __bytecount_impl(size)))
_Outptr_result_bytebuffer_maybenull_	s	
_Outptr_opt_result_bytebuffer_maybenull_	s	
_Outptr_result_bytebuffer_to_maybenull_	size,count	_SAL2_Source_(_Outptr_result_bytebuffer_to_maybenull_, (size, count), _Out_impl_ _Deref_post3_impl_(__maybenull_impl_notref, __bytecap_impl(size), __bytecount_impl(count)))
_Outptr_opt_result_bytebuffer_to_maybenull_	size,count	_SAL2_Source_(_Outptr_opt_result_bytebuffer_to_maybenull_, (size, count), _Out_opt_impl_ _Deref_post3_impl_(__maybenull_impl_notref, __bytecap_impl(size), __bytecount_impl(count)))
_Outptr_result_bytebuffer_all_maybenull_	size	_SAL2_Source_(_Outptr_result_bytebuffer_all_maybenull_, (size), _Out_impl_ _Deref_post2_impl_(__maybenull_impl_notref, __bytecount_impl(size)))
_Outptr_opt_result_bytebuffer_all_maybenull_	size	_SAL2_Source_(_Outptr_opt_result_bytebuffer_all_maybenull_, (size), _Out_opt_impl_ _Deref_post2_impl_(__maybenull_impl_notref, __bytecount_impl(size)))
_Outref_		
_Outref_result_maybenull_		
_Outref_result_buffer_	s	
_Outref_result_bytebuffer_	s	
_Outref_result_buffer_to_	s,c	
_Outref_result_bytebuffer_to_	s,c	
_Outref_result_buffer_all_	s	
_Outref_result_bytebuffer_all_	s	
_Outref_result_buffer_maybenull_	s	
_Outref_result_bytebuffer_maybenull_	s	
_Outref_result_buffer_to_maybenull_	s,c	
_Outref_result_bytebuffer_to_maybenull_	s,c	
_Outref_result_buffer_all_maybenull_	s	
_Outref_result_bytebuffer_all_maybenull_	s	
_Outref_result_nullonfailure_		
_Result_nullonfailure_		
_Result_zeroonfailure_		
_Ret_z_		
_Ret_maybenull_z_		
_Ret_notnull_		
_Ret_maybenull_		
_Ret_null_		
_Ret_valid_		
_Ret_writes_	s	
_Ret_writes_z_	s	
_Ret_writes_bytes_	s	
_Ret_writes_maybenull_	s	
_Ret_writes_maybenull_z_	s	
_Ret_writes_bytes_maybenull_	s	
_Ret_writes_to_	s,c	
_Ret_writes_bytes_to_	s,c	
_Ret_writes_to_maybenull_	s,c	
_Ret_writes_bytes_to_maybenull_	s,c	
_Points_to_data_		
_Literal_		
_Notliteral_		
_Check_return_		
_Must_inspect_result_		
_Printf_format_string_		
_Scanf_format_string_		
_Scanf_s_format_string_		
_Format_string_impl_	kind,where	_SA_annotes2(SAL_IsFormatString2, kind, where)
_Printf_format_string_params_	x	
_Scanf_format_string_params_	x	
