defined	arg	defined arg
ERROR_INVALID_VERIFY_SWITCH		118L
ERROR_BAD_DRIVER_LEVEL		119L
ERROR_CALL_NOT_IMPLEMENTED		120L
ERROR_SEM_TIMEOUT		121L
ERROR_INSUFFICIENT_BUFFER		122L
ERROR_INVALID_NAME		123L
ERROR_INVALID_LEVEL		124L
ERROR_NO_VOLUME_LABEL		125L
ERROR_MOD_NOT_FOUND		126L
ERROR_PROC_NOT_FOUND		127L
ERROR_WAIT_NO_CHILDREN		128L
ERROR_CHILD_NOT_COMPLETE		129L
ERROR_DIRECT_ACCESS_HANDLE		130L
ERROR_NEGATIVE_SEEK		131L
ERROR_SEEK_ON_DEVICE		132L
ERROR_IS_JOIN_TARGET		133L
ERROR_IS_JOINED		134L
ERROR_IS_SUBSTED		135L
ERROR_NOT_JOINED		136L
ERROR_NOT_SUBSTED		137L
ERROR_JOIN_TO_JOIN		138L
ERROR_SUBST_TO_SUBST		139L
ERROR_JOIN_TO_SUBST		140L
ERROR_SUBST_TO_JOIN		141L
ERROR_BUSY_DRIVE		142L
ERROR_SAME_DRIVE		143L
ERROR_DIR_NOT_ROOT		144L
ERROR_DIR_NOT_EMPTY		145L
ERROR_IS_SUBST_PATH		146L
ERROR_IS_JOIN_PATH		147L
ERROR_PATH_BUSY		148L
ERROR_IS_SUBST_TARGET		149L
ERROR_SYSTEM_TRACE		150L
ERROR_INVALID_EVENT_COUNT		151L
ERROR_TOO_MANY_MUXWAITERS		152L
ERROR_INVALID_LIST_FORMAT		153L
ERROR_LABEL_TOO_LONG		154L
ERROR_TOO_MANY_TCBS		155L
ERROR_SIGNAL_REFUSED		156L
ERROR_DISCARDED		157L
ERROR_NOT_LOCKED		158L
ERROR_BAD_THREADID_ADDR		159L
ERROR_BAD_ARGUMENTS		160L
ERROR_BAD_PATHNAME		161L
ERROR_SIGNAL_PENDING		162L
ERROR_MAX_THRDS_REACHED		164L
ERROR_LOCK_FAILED		167L
ERROR_BUSY		170L
ERROR_DEVICE_SUPPORT_IN_PROGRESS		171L
ERROR_CANCEL_VIOLATION		173L
ERROR_ATOMIC_LOCKS_NOT_SUPPORTED		174L
ERROR_INVALID_SEGMENT_NUMBER		180L
ERROR_INVALID_ORDINAL		182L
ERROR_ALREADY_EXISTS		183L
ERROR_INVALID_FLAG_NUMBER		186L
ERROR_SEM_NOT_FOUND		187L
ERROR_INVALID_STARTING_CODESEG		188L
ERROR_INVALID_STACKSEG		189L
ERROR_INVALID_MODULETYPE		190L
ERROR_INVALID_EXE_SIGNATURE		191L
ERROR_EXE_MARKED_INVALID		192L
ERROR_BAD_EXE_FORMAT		193L
ERROR_ITERATED_DATA_EXCEEDS_64k		194L
ERROR_INVALID_MINALLOCSIZE		195L
ERROR_DYNLINK_FROM_INVALID_RING		196L
ERROR_IOPL_NOT_ENABLED		197L
ERROR_INVALID_SEGDPL		198L
ERROR_AUTODATASEG_EXCEEDS_64k		199L
ERROR_RING2SEG_MUST_BE_MOVABLE		200L
ERROR_RELOC_CHAIN_XEEDS_SEGLIM		201L
ERROR_INFLOOP_IN_RELOC_CHAIN		202L
ERROR_ENVVAR_NOT_FOUND		203L
ERROR_NO_SIGNAL_SENT		205L
ERROR_FILENAME_EXCED_RANGE		206L
ERROR_RING2_STACK_IN_USE		207L
ERROR_META_EXPANSION_TOO_LONG		208L
ERROR_INVALID_SIGNAL_NUMBER		209L
ERROR_THREAD_1_INACTIVE		210L
ERROR_LOCKED		212L
ERROR_TOO_MANY_MODULES		214L
ERROR_NESTING_NOT_ALLOWED		215L
ERROR_EXE_MACHINE_TYPE_MISMATCH		216L
ERROR_EXE_CANNOT_MODIFY_SIGNED_BINARY		217L
ERROR_EXE_CANNOT_MODIFY_STRONG_SIGNED_BINARY		218L
ERROR_FILE_CHECKED_OUT		220L
ERROR_CHECKOUT_REQUIRED		221L
ERROR_BAD_FILE_TYPE		222L
ERROR_FILE_TOO_LARGE		223L
ERROR_FORMS_AUTH_REQUIRED		224L
ERROR_VIRUS_INFECTED		225L
ERROR_VIRUS_DELETED		226L
ERROR_PIPE_LOCAL		229L
ERROR_BAD_PIPE		230L
ERROR_PIPE_BUSY		231L
ERROR_NO_DATA		232L
ERROR_PIPE_NOT_CONNECTED		233L
ERROR_MORE_DATA		234L
ERROR_NO_WORK_DONE		235L
ERROR_VC_DISCONNECTED		240L
ERROR_INVALID_EA_NAME		254L
ERROR_EA_LIST_INCONSISTENT		255L
WAIT_TIMEOUT		258L
ERROR_NO_MORE_ITEMS		259L
ERROR_CANNOT_COPY		266L
ERROR_DIRECTORY		267L
ERROR_EAS_DIDNT_FIT		275L
ERROR_EA_FILE_CORRUPT		276L
ERROR_EA_TABLE_FULL		277L
ERROR_INVALID_EA_HANDLE		278L
ERROR_EAS_NOT_SUPPORTED		282L
ERROR_NOT_OWNER		288L
ERROR_TOO_MANY_POSTS		298L
ERROR_PARTIAL_COPY		299L
ERROR_OPLOCK_NOT_GRANTED		300L
ERROR_INVALID_OPLOCK_PROTOCOL		301L
ERROR_DISK_TOO_FRAGMENTED		302L
ERROR_DELETE_PENDING		303L
ERROR_INCOMPATIBLE_WITH_GLOBAL_SHORT_NAME_REGISTRY_SETTING		304L
ERROR_SHORT_NAMES_NOT_ENABLED_ON_VOLUME		305L
ERROR_SECURITY_STREAM_IS_INCONSISTENT		306L
ERROR_INVALID_LOCK_RANGE		307L
ERROR_IMAGE_SUBSYSTEM_NOT_PRESENT		308L
ERROR_NOTIFICATION_GUID_ALREADY_DEFINED		309L
ERROR_INVALID_EXCEPTION_HANDLER		310L
ERROR_DUPLICATE_PRIVILEGES		311L
ERROR_NO_RANGES_PROCESSED		312L
ERROR_NOT_ALLOWED_ON_SYSTEM_FILE		313L
ERROR_DISK_RESOURCES_EXHAUSTED		314L
ERROR_INVALID_TOKEN		315L
ERROR_DEVICE_FEATURE_NOT_SUPPORTED		316L
ERROR_MR_MID_NOT_FOUND		317L
ERROR_SCOPE_NOT_FOUND		318L
ERROR_UNDEFINED_SCOPE		319L
ERROR_INVALID_CAP		320L
ERROR_DEVICE_UNREACHABLE		321L
ERROR_DEVICE_NO_RESOURCES		322L
ERROR_DATA_CHECKSUM_ERROR		323L
ERROR_INTERMIXED_KERNEL_EA_OPERATION		324L
ERROR_FILE_LEVEL_TRIM_NOT_SUPPORTED		326L
ERROR_OFFSET_ALIGNMENT_VIOLATION		327L
ERROR_INVALID_FIELD_IN_PARAMETER_LIST		328L
ERROR_OPERATION_IN_PROGRESS		329L
ERROR_BAD_DEVICE_PATH		330L
ERROR_TOO_MANY_DESCRIPTORS		331L
ERROR_SCRUB_DATA_DISABLED		332L
ERROR_NOT_REDUNDANT_STORAGE		333L
ERROR_RESIDENT_FILE_NOT_SUPPORTED		334L
ERROR_COMPRESSED_FILE_NOT_SUPPORTED		335L
ERROR_DIRECTORY_NOT_SUPPORTED		336L
ERROR_NOT_READ_FROM_COPY		337L
ERROR_FT_WRITE_FAILURE		338L
ERROR_FT_DI_SCAN_REQUIRED		339L
ERROR_INVALID_KERNEL_INFO_VERSION		340L
ERROR_INVALID_PEP_INFO_VERSION		341L
ERROR_OBJECT_NOT_EXTERNALLY_BACKED		342L
ERROR_EXTERNAL_BACKING_PROVIDER_UNKNOWN		343L
ERROR_COMPRESSION_NOT_BENEFICIAL		344L
ERROR_STORAGE_TOPOLOGY_ID_MISMATCH		345L
ERROR_BLOCKED_BY_PARENTAL_CONTROLS		346L
ERROR_BLOCK_TOO_MANY_REFERENCES		347L
ERROR_MARKED_TO_DISALLOW_WRITES		348L
ERROR_ENCLAVE_FAILURE		349L
ERROR_FAIL_NOACTION_REBOOT		350L
ERROR_FAIL_SHUTDOWN		351L
ERROR_FAIL_RESTART		352L
ERROR_MAX_SESSIONS_REACHED		353L
ERROR_NETWORK_ACCESS_DENIED_EDP		354L
ERROR_DEVICE_HINT_NAME_BUFFER_TOO_SMALL		355L
ERROR_EDP_POLICY_DENIES_OPERATION		356L
ERROR_EDP_DPL_POLICY_CANT_BE_SATISFIED		357L
ERROR_CLOUD_FILE_SYNC_ROOT_METADATA_CORRUPT		358L
ERROR_DEVICE_IN_MAINTENANCE		359L
ERROR_NOT_SUPPORTED_ON_DAX		360L
ERROR_DAX_MAPPING_EXISTS		361L
ERROR_CLOUD_FILE_PROVIDER_NOT_RUNNING		362L
ERROR_CLOUD_FILE_METADATA_CORRUPT		363L
ERROR_CLOUD_FILE_METADATA_TOO_LARGE		364L
ERROR_CLOUD_FILE_PROPERTY_BLOB_TOO_LARGE		365L
ERROR_CLOUD_FILE_PROPERTY_BLOB_CHECKSUM_MISMATCH		366L
ERROR_CHILD_PROCESS_BLOCKED		367L
ERROR_STORAGE_LOST_DATA_PERSISTENCE		368L
ERROR_FILE_SYSTEM_VIRTUALIZATION_UNAVAILABLE		369L
ERROR_FILE_SYSTEM_VIRTUALIZATION_METADATA_CORRUPT		370L
ERROR_FILE_SYSTEM_VIRTUALIZATION_BUSY		371L
ERROR_FILE_SYSTEM_VIRTUALIZATION_PROVIDER_UNKNOWN		372L
ERROR_GDI_HANDLE_LEAK		373L
ERROR_CLOUD_FILE_TOO_MANY_PROPERTY_BLOBS		374L
ERROR_CLOUD_FILE_PROPERTY_VERSION_NOT_SUPPORTED		375L
ERROR_NOT_A_CLOUD_FILE		376L
ERROR_CLOUD_FILE_NOT_IN_SYNC		377L
ERROR_CLOUD_FILE_ALREADY_CONNECTED		378L
ERROR_CLOUD_FILE_NOT_SUPPORTED		379L
ERROR_CLOUD_FILE_INVALID_REQUEST		380L
ERROR_CLOUD_FILE_READ_ONLY_VOLUME		381L
ERROR_CLOUD_FILE_CONNECTED_PROVIDER_ONLY		382L
ERROR_CLOUD_FILE_VALIDATION_FAILED		383L
ERROR_SMB1_NOT_AVAILABLE		384L
ERROR_FILE_SYSTEM_VIRTUALIZATION_INVALID_OPERATION		385L
ERROR_CLOUD_FILE_AUTHENTICATION_FAILED		386L
ERROR_CLOUD_FILE_INSUFFICIENT_RESOURCES		387L
ERROR_CLOUD_FILE_NETWORK_UNAVAILABLE		388L
ERROR_CLOUD_FILE_UNSUCCESSFUL		389L
ERROR_CLOUD_FILE_NOT_UNDER_SYNC_ROOT		390L
ERROR_CLOUD_FILE_IN_USE		391L
ERROR_CLOUD_FILE_PINNED		392L
ERROR_CLOUD_FILE_REQUEST_ABORTED		393L
ERROR_CLOUD_FILE_PROPERTY_CORRUPT		394L
ERROR_CLOUD_FILE_ACCESS_DENIED		395L
ERROR_CLOUD_FILE_INCOMPATIBLE_HARDLINKS		396L
ERROR_CLOUD_FILE_PROPERTY_LOCK_CONFLICT		397L
ERROR_CLOUD_FILE_REQUEST_CANCELED		398L
ERROR_EXTERNAL_SYSKEY_NOT_SUPPORTED		399L
ERROR_THREAD_MODE_ALREADY_BACKGROUND		400L
ERROR_THREAD_MODE_NOT_BACKGROUND		401L
ERROR_PROCESS_MODE_ALREADY_BACKGROUND		402L
ERROR_PROCESS_MODE_NOT_BACKGROUND		403L
ERROR_CLOUD_FILE_PROVIDER_TERMINATED		404L
ERROR_NOT_A_CLOUD_SYNC_ROOT		405L
ERROR_FILE_PROTECTED_UNDER_DPL		406L
ERROR_VOLUME_NOT_CLUSTER_ALIGNED		407L
ERROR_NO_PHYSICALLY_ALIGNED_FREE_SPACE_FOUND		408L
ERROR_APPX_FILE_NOT_ENCRYPTED		409L
ERROR_RWRAW_ENCRYPTED_FILE_NOT_ENCRYPTED		410L
ERROR_RWRAW_ENCRYPTED_INVALID_EDATAINFO_FILEOFFSET		411L
ERROR_RWRAW_ENCRYPTED_INVALID_EDATAINFO_FILERANGE		412L
ERROR_RWRAW_ENCRYPTED_INVALID_EDATAINFO_PARAMETER		413L
ERROR_LINUX_SUBSYSTEM_NOT_PRESENT		414L
ERROR_FT_READ_FAILURE		415L
ERROR_STORAGE_RESERVE_ID_INVALID		416L
ERROR_STORAGE_RESERVE_DOES_NOT_EXIST		417L
ERROR_STORAGE_RESERVE_ALREADY_EXISTS		418L
ERROR_STORAGE_RESERVE_NOT_EMPTY		419L
ERROR_NOT_A_DAX_VOLUME		420L
ERROR_NOT_DAX_MAPPABLE		421L
ERROR_TIME_SENSITIVE_THREAD		422L
ERROR_DPL_NOT_SUPPORTED_FOR_USER		423L
ERROR_CASE_DIFFERING_NAMES_IN_DIR		424L
ERROR_FILE_NOT_SUPPORTED		425L
ERROR_CLOUD_FILE_REQUEST_TIMEOUT		426L
ERROR_NO_TASK_QUEUE		427L
ERROR_SRC_SRV_DLL_LOAD_FAILED		428L
ERROR_NOT_SUPPORTED_WITH_BTT		429L
ERROR_ENCRYPTION_DISABLED		430L
ERROR_ENCRYPTING_METADATA_DISALLOWED		431L
ERROR_CANT_CLEAR_ENCRYPTION_FLAG		432L
ERROR_NO_SUCH_DEVICE		433L
ERROR_CLOUD_FILE_DEHYDRATION_DISALLOWED		434L
ERROR_FILE_SNAP_IN_PROGRESS		435L
ERROR_FILE_SNAP_USER_SECTION_NOT_SUPPORTED		436L
ERROR_FILE_SNAP_MODIFY_NOT_SUPPORTED		437L
ERROR_FILE_SNAP_IO_NOT_COORDINATED		438L
ERROR_FILE_SNAP_UNEXPECTED_ERROR		439L
ERROR_FILE_SNAP_INVALID_PARAMETER		440L
ERROR_UNSATISFIED_DEPENDENCIES		441L
ERROR_CASE_SENSITIVE_PATH		442L
ERROR_UNEXPECTED_NTCACHEMANAGER_ERROR		443L
ERROR_LINUX_SUBSYSTEM_UPDATE_REQUIRED		444L
ERROR_DLP_POLICY_WARNS_AGAINST_OPERATION		445L
ERROR_DLP_POLICY_DENIES_OPERATION		446L
ERROR_SECURITY_DENIES_OPERATION		447L
ERROR_UNTRUSTED_MOUNT_POINT		448L
ERROR_DLP_POLICY_SILENTLY_FAIL		449L
ERROR_CAPAUTHZ_NOT_DEVUNLOCKED		450L
ERROR_CAPAUTHZ_CHANGE_TYPE		451L
ERROR_CAPAUTHZ_NOT_PROVISIONED		452L
ERROR_CAPAUTHZ_NOT_AUTHORIZED		453L
ERROR_CAPAUTHZ_NO_POLICY		454L
ERROR_CAPAUTHZ_DB_CORRUPTED		455L
ERROR_CAPAUTHZ_SCCD_INVALID_CATALOG		456L
ERROR_CAPAUTHZ_SCCD_NO_AUTH_ENTITY		457L
ERROR_CAPAUTHZ_SCCD_PARSE_ERROR		458L
ERROR_CAPAUTHZ_SCCD_DEV_MODE_REQUIRED		459L
ERROR_CAPAUTHZ_SCCD_NO_CAPABILITY_MATCH		460L
ERROR_CIMFS_IMAGE_CORRUPT		470L
ERROR_CIMFS_IMAGE_VERSION_NOT_SUPPORTED		471L
ERROR_STORAGE_STACK_ACCESS_DENIED		472L
ERROR_INSUFFICIENT_VIRTUAL_ADDR_RESOURCES		473L
ERROR_INDEX_OUT_OF_BOUNDS		474L
ERROR_CLOUD_FILE_US_MESSAGE_TIMEOUT		475L
ERROR_NOT_A_DEV_VOLUME		476L
ERROR_FS_GUID_MISMATCH		477L
ERROR_CANT_ATTACH_TO_DEV_VOLUME		478L
ERROR_INVALID_CONFIG_VALUE		479L
ERROR_PNP_QUERY_REMOVE_DEVICE_TIMEOUT		480L
ERROR_PNP_QUERY_REMOVE_RELATED_DEVICE_TIMEOUT		481L
ERROR_PNP_QUERY_REMOVE_UNRELATED_DEVICE_TIMEOUT		482L
ERROR_DEVICE_HARDWARE_ERROR		483L
ERROR_INVALID_ADDRESS		487L
ERROR_HAS_SYSTEM_CRITICAL_FILES		488L
ERROR_ENCRYPTED_FILE_NOT_SUPPORTED		489L
ERROR_SPARSE_FILE_NOT_SUPPORTED		490L
ERROR_PAGEFILE_NOT_SUPPORTED		491L
ERROR_VOLUME_NOT_SUPPORTED		492L
ERROR_NOT_SUPPORTED_WITH_BYPASSIO		493L
ERROR_NO_BYPASSIO_DRIVER_SUPPORT		494L
ERROR_NOT_SUPPORTED_WITH_ENCRYPTION		495L
ERROR_NOT_SUPPORTED_WITH_COMPRESSION		496L
ERROR_NOT_SUPPORTED_WITH_REPLICATION		497L
ERROR_NOT_SUPPORTED_WITH_DEDUPLICATION		498L
ERROR_NOT_SUPPORTED_WITH_AUDITING		499L
ERROR_USER_PROFILE_LOAD		500L
ERROR_SESSION_KEY_TOO_SHORT		501L
ERROR_ACCESS_DENIED_APPDATA		502L
ERROR_NOT_SUPPORTED_WITH_MONITORING		503L
ERROR_NOT_SUPPORTED_WITH_SNAPSHOT		504L
ERROR_NOT_SUPPORTED_WITH_VIRTUALIZATION		505L
ERROR_BYPASSIO_FLT_NOT_SUPPORTED		506L
ERROR_DEVICE_RESET_REQUIRED		507L
ERROR_VOLUME_WRITE_ACCESS_DENIED		508L
ERROR_NOT_SUPPORTED_WITH_CACHED_HANDLE		509L
ERROR_FS_METADATA_INCONSISTENT		510L
ERROR_BLOCK_WEAK_REFERENCE_INVALID		511L
ERROR_BLOCK_SOURCE_WEAK_REFERENCE_INVALID		512L
ERROR_BLOCK_TARGET_WEAK_REFERENCE_INVALID		513L
ERROR_BLOCK_SHARED		514L
ERROR_VOLUME_UPGRADE_NOT_NEEDED		515L
ERROR_VOLUME_UPGRADE_PENDING		516L
ERROR_VOLUME_UPGRADE_DISABLED		517L
ERROR_VOLUME_UPGRADE_DISABLED_TILL_OS_DOWNGRADE_EXPIRED		518L
ERROR_ARITHMETIC_OVERFLOW		534L
ERROR_PIPE_CONNECTED		535L
ERROR_PIPE_LISTENING		536L
ERROR_VERIFIER_STOP		537L
ERROR_ABIOS_ERROR		538L
ERROR_WX86_WARNING		539L
ERROR_WX86_ERROR		540L
ERROR_TIMER_NOT_CANCELED		541L
ERROR_UNWIND		542L
ERROR_BAD_STACK		543L
ERROR_INVALID_UNWIND_TARGET		544L
ERROR_INVALID_PORT_ATTRIBUTES		545L
ERROR_PORT_MESSAGE_TOO_LONG		546L
ERROR_INVALID_QUOTA_LOWER		547L
ERROR_DEVICE_ALREADY_ATTACHED		548L
ERROR_INSTRUCTION_MISALIGNMENT		549L
ERROR_PROFILING_NOT_STARTED		550L
ERROR_PROFILING_NOT_STOPPED		551L
ERROR_COULD_NOT_INTERPRET		552L
ERROR_PROFILING_AT_LIMIT		553L
ERROR_CANT_WAIT		554L
ERROR_CANT_TERMINATE_SELF		555L
ERROR_UNEXPECTED_MM_CREATE_ERR		556L
ERROR_UNEXPECTED_MM_MAP_ERROR		557L
ERROR_UNEXPECTED_MM_EXTEND_ERR		558L
ERROR_BAD_FUNCTION_TABLE		559L
ERROR_NO_GUID_TRANSLATION		560L
ERROR_INVALID_LDT_SIZE		561L
ERROR_INVALID_LDT_OFFSET		563L
ERROR_INVALID_LDT_DESCRIPTOR		564L
ERROR_TOO_MANY_THREADS		565L
ERROR_THREAD_NOT_IN_PROCESS		566L
ERROR_PAGEFILE_QUOTA_EXCEEDED		567L
ERROR_LOGON_SERVER_CONFLICT		568L
ERROR_SYNCHRONIZATION_REQUIRED		569L
ERROR_NET_OPEN_FAILED		570L
ERROR_IO_PRIVILEGE_FAILED		571L
ERROR_CONTROL_C_EXIT		572L
ERROR_MISSING_SYSTEMFILE		573L
ERROR_UNHANDLED_EXCEPTION		574L
ERROR_APP_INIT_FAILURE		575L
ERROR_PAGEFILE_CREATE_FAILED		576L
ERROR_INVALID_IMAGE_HASH		577L
ERROR_NO_PAGEFILE		578L
ERROR_ILLEGAL_FLOAT_CONTEXT		579L
ERROR_NO_EVENT_PAIR		580L
ERROR_DOMAIN_CTRLR_CONFIG_ERROR		581L
ERROR_ILLEGAL_CHARACTER		582L
ERROR_UNDEFINED_CHARACTER		583L
ERROR_FLOPPY_VOLUME		584L
ERROR_BIOS_FAILED_TO_CONNECT_INTERRUPT		585L
ERROR_BACKUP_CONTROLLER		586L
ERROR_MUTANT_LIMIT_EXCEEDED		587L
ERROR_FS_DRIVER_REQUIRED		588L
ERROR_CANNOT_LOAD_REGISTRY_FILE		589L
ERROR_DEBUG_ATTACH_FAILED		590L
ERROR_SYSTEM_PROCESS_TERMINATED		591L
ERROR_DATA_NOT_ACCEPTED		592L
ERROR_VDM_HARD_ERROR		593L
ERROR_DRIVER_CANCEL_TIMEOUT		594L
ERROR_REPLY_MESSAGE_MISMATCH		595L
ERROR_LOST_WRITEBEHIND_DATA		596L
ERROR_CLIENT_SERVER_PARAMETERS_INVALID		597L
ERROR_NOT_TINY_STREAM		598L
ERROR_STACK_OVERFLOW_READ		599L
ERROR_CONVERT_TO_LARGE		600L
ERROR_FOUND_OUT_OF_SCOPE		601L
ERROR_ALLOCATE_BUCKET		602L
ERROR_MARSHALL_OVERFLOW		603L
ERROR_INVALID_VARIANT		604L
ERROR_BAD_COMPRESSION_BUFFER		605L
ERROR_AUDIT_FAILED		606L
ERROR_TIMER_RESOLUTION_NOT_SET		607L
ERROR_INSUFFICIENT_LOGON_INFO		608L
ERROR_BAD_DLL_ENTRYPOINT		609L
ERROR_BAD_SERVICE_ENTRYPOINT		610L
ERROR_IP_ADDRESS_CONFLICT1		611L
ERROR_IP_ADDRESS_CONFLICT2		612L
ERROR_REGISTRY_QUOTA_LIMIT		613L
ERROR_NO_CALLBACK_ACTIVE		614L
ERROR_PWD_TOO_SHORT		615L
ERROR_PWD_TOO_RECENT		616L
ERROR_PWD_HISTORY_CONFLICT		617L
ERROR_UNSUPPORTED_COMPRESSION		618L
ERROR_INVALID_HW_PROFILE		619L
ERROR_INVALID_PLUGPLAY_DEVICE_PATH		620L
ERROR_QUOTA_LIST_INCONSISTENT		621L
ERROR_EVALUATION_EXPIRATION		622L
ERROR_ILLEGAL_DLL_RELOCATION		623L
ERROR_DLL_INIT_FAILED_LOGOFF		624L
ERROR_VALIDATE_CONTINUE		625L
ERROR_NO_MORE_MATCHES		626L
ERROR_RANGE_LIST_CONFLICT		627L
ERROR_SERVER_SID_MISMATCH		628L
ERROR_CANT_ENABLE_DENY_ONLY		629L
ERROR_FLOAT_MULTIPLE_FAULTS		630L
ERROR_FLOAT_MULTIPLE_TRAPS		631L
ERROR_NOINTERFACE		632L
ERROR_DRIVER_FAILED_SLEEP		633L
ERROR_CORRUPT_SYSTEM_FILE		634L
ERROR_COMMITMENT_MINIMUM		635L
ERROR_PNP_RESTART_ENUMERATION		636L
ERROR_SYSTEM_IMAGE_BAD_SIGNATURE		637L
ERROR_PNP_REBOOT_REQUIRED		638L
ERROR_INSUFFICIENT_POWER		639L
ERROR_MULTIPLE_FAULT_VIOLATION		640L
ERROR_SYSTEM_SHUTDOWN		641L
ERROR_PORT_NOT_SET		642L
ERROR_DS_VERSION_CHECK_FAILURE		643L
ERROR_RANGE_NOT_FOUND		644L
ERROR_NOT_SAFE_MODE_DRIVER		646L
ERROR_FAILED_DRIVER_ENTRY		647L
ERROR_DEVICE_ENUMERATION_ERROR		648L
ERROR_MOUNT_POINT_NOT_RESOLVED		649L
ERROR_INVALID_DEVICE_OBJECT_PARAMETER		650L
ERROR_MCA_OCCURED		651L
ERROR_DRIVER_DATABASE_ERROR		652L
ERROR_SYSTEM_HIVE_TOO_LARGE		653L
ERROR_DRIVER_FAILED_PRIOR_UNLOAD		654L
ERROR_VOLSNAP_PREPARE_HIBERNATE		655L
ERROR_HIBERNATION_FAILURE		656L
ERROR_PWD_TOO_LONG		657L
ERROR_FILE_SYSTEM_LIMITATION		665L
ERROR_ASSERTION_FAILURE		668L
ERROR_ACPI_ERROR		669L
ERROR_WOW_ASSERTION		670L
ERROR_PNP_BAD_MPS_TABLE		671L
ERROR_PNP_TRANSLATION_FAILED		672L
ERROR_PNP_IRQ_TRANSLATION_FAILED		673L
ERROR_PNP_INVALID_ID		674L
ERROR_WAKE_SYSTEM_DEBUGGER		675L
ERROR_HANDLES_CLOSED		676L
ERROR_EXTRANEOUS_INFORMATION		677L
ERROR_RXACT_COMMIT_NECESSARY		678L
ERROR_MEDIA_CHECK		679L
ERROR_GUID_SUBSTITUTION_MADE		680L
ERROR_STOPPED_ON_SYMLINK		681L
ERROR_LONGJUMP		682L
ERROR_PLUGPLAY_QUERY_VETOED		683L
ERROR_UNWIND_CONSOLIDATE		684L
ERROR_REGISTRY_HIVE_RECOVERED		685L
ERROR_DLL_MIGHT_BE_INSECURE		686L
ERROR_DLL_MIGHT_BE_INCOMPATIBLE		687L
ERROR_DBG_EXCEPTION_NOT_HANDLED		688L
ERROR_DBG_REPLY_LATER		689L
ERROR_DBG_UNABLE_TO_PROVIDE_HANDLE		690L
ERROR_DBG_TERMINATE_THREAD		691L
ERROR_DBG_TERMINATE_PROCESS		692L
ERROR_DBG_CONTROL_C		693L
ERROR_DBG_PRINTEXCEPTION_C		694L
ERROR_DBG_RIPEXCEPTION		695L
ERROR_DBG_CONTROL_BREAK		696L
ERROR_DBG_COMMAND_EXCEPTION		697L
ERROR_OBJECT_NAME_EXISTS		698L
ERROR_THREAD_WAS_SUSPENDED		699L
ERROR_IMAGE_NOT_AT_BASE		700L
ERROR_RXACT_STATE_CREATED		701L
ERROR_SEGMENT_NOTIFICATION		702L
ERROR_BAD_CURRENT_DIRECTORY		703L
ERROR_FT_READ_RECOVERY_FROM_BACKUP		704L
ERROR_FT_WRITE_RECOVERY		705L
ERROR_IMAGE_MACHINE_TYPE_MISMATCH		706L
ERROR_RECEIVE_PARTIAL		707L
ERROR_RECEIVE_EXPEDITED		708L
ERROR_RECEIVE_PARTIAL_EXPEDITED		709L
ERROR_EVENT_DONE		710L
ERROR_EVENT_PENDING		711L
ERROR_CHECKING_FILE_SYSTEM		712L
ERROR_FATAL_APP_EXIT		713L
ERROR_PREDEFINED_HANDLE		714L
ERROR_WAS_UNLOCKED		715L
ERROR_SERVICE_NOTIFICATION		716L
ERROR_WAS_LOCKED		717L
ERROR_LOG_HARD_ERROR		718L
ERROR_ALREADY_WIN32		719L
ERROR_IMAGE_MACHINE_TYPE_MISMATCH_EXE		720L
ERROR_NO_YIELD_PERFORMED		721L
ERROR_TIMER_RESUME_IGNORED		722L
ERROR_ARBITRATION_UNHANDLED		723L
ERROR_CARDBUS_NOT_SUPPORTED		724L
ERROR_MP_PROCESSOR_MISMATCH		725L
ERROR_HIBERNATED		726L
ERROR_RESUME_HIBERNATION		727L
ERROR_FIRMWARE_UPDATED		728L
ERROR_DRIVERS_LEAKING_LOCKED_PAGES		729L
ERROR_WAKE_SYSTEM		730L
ERROR_WAIT_1		731L
ERROR_WAIT_2		732L
ERROR_WAIT_3		733L
ERROR_WAIT_63		734L
ERROR_ABANDONED_WAIT_0		735L
ERROR_ABANDONED_WAIT_63		736L
ERROR_USER_APC		737L
ERROR_KERNEL_APC		738L
ERROR_ALERTED		739L
ERROR_ELEVATION_REQUIRED		740L
ERROR_REPARSE		741L
ERROR_OPLOCK_BREAK_IN_PROGRESS		742L
ERROR_VOLUME_MOUNTED		743L
ERROR_RXACT_COMMITTED		744L
ERROR_NOTIFY_CLEANUP		745L
ERROR_PRIMARY_TRANSPORT_CONNECT_FAILED		746L
ERROR_PAGE_FAULT_TRANSITION		747L
ERROR_PAGE_FAULT_DEMAND_ZERO		748L
ERROR_PAGE_FAULT_COPY_ON_WRITE		749L
ERROR_PAGE_FAULT_GUARD_PAGE		750L
ERROR_PAGE_FAULT_PAGING_FILE		751L
ERROR_CACHE_PAGE_LOCKED		752L
ERROR_CRASH_DUMP		753L
ERROR_BUFFER_ALL_ZEROS		754L
ERROR_REPARSE_OBJECT		755L
ERROR_RESOURCE_REQUIREMENTS_CHANGED		756L
ERROR_TRANSLATION_COMPLETE		757L
ERROR_NOTHING_TO_TERMINATE		758L
ERROR_PROCESS_NOT_IN_JOB		759L
ERROR_PROCESS_IN_JOB		760L
ERROR_VOLSNAP_HIBERNATE_READY		761L
ERROR_FSFILTER_OP_COMPLETED_SUCCESSFULLY		762L
